C:\Users\Hakan\Desktop\TrainingsData\IMG\center_2021_09_28_02_03_19_680.jpg, C:\Users\Hakan\Desktop\TrainingsData\IMG\left_2021_09_28_02_03_19_680.jpg, C:\Users\Hakan\Desktop\TrainingsData\IMG\right_2021_09_28_02_03_19_680.jpg, 0, 0, 0, 7.787524E-05
C:\Users\Hakan\Desktop\TrainingsData\IMG\center_2021_09_28_02_03_19_783.jpg, C:\Users\Hakan\Desktop\TrainingsData\IMG\left_2021_09_28_02_03_19_783.jpg, C:\Users\Hakan\Desktop\TrainingsData\IMG\right_2021_09_28_02_03_19_783.jpg, 0, 0, 0, 7.79841E-05
C:\Users\Hakan\Desktop\TrainingsData\IMG\center_2021_09_28_02_03_19_884.jpg, C:\Users\Hakan\Desktop\TrainingsData\IMG\left_2021_09_28_02_03_19_884.jpg, C:\Users\Hakan\Desktop\TrainingsData\IMG\right_2021_09_28_02_03_19_884.jpg, 0, 0, 0, 7.834523E-05
C:\Users\Hakan\Desktop\TrainingsData\IMG\center_2021_09_28_02_03_19_985.jpg, C:\Users\Hakan\Desktop\TrainingsData\IMG\left_2021_09_28_02_03_19_985.jpg, C:\Users\Hakan\Desktop\TrainingsData\IMG\right_2021_09_28_02_03_19_985.jpg, 0, 0, 0, 7.994781E-05
C:\Users\Hakan\Desktop\TrainingsData\IMG\center_2021_09_28_02_03_20_086.jpg, C:\Users\Hakan\Desktop\TrainingsData\IMG\left_2021_09_28_02_03_20_086.jpg, C:\Users\Hakan\Desktop\TrainingsData\IMG\right_2021_09_28_02_03_20_086.jpg, 0, 0, 0, 7.807315E-05
C:\Users\Hakan\Desktop\TrainingsData\IMG\center_2021_09_28_02_03_20_186.jpg, C:\Users\Hakan\Desktop\TrainingsData\IMG\left_2021_09_28_02_03_20_186.jpg, C:\Users\Hakan\Desktop\TrainingsData\IMG\right_2021_09_28_02_03_20_186.jpg, 0, 0, 0, 8.004399E-05
C:\Users\Hakan\Desktop\TrainingsData\IMG\center_2021_09_28_02_03_20_287.jpg, C:\Users\Hakan\Desktop\TrainingsData\IMG\left_2021_09_28_02_03_20_287.jpg, C:\Users\Hakan\Desktop\TrainingsData\IMG\right_2021_09_28_02_03_20_287.jpg, 0, 0, 0, 7.841652E-05
C:\Users\Hakan\Desktop\TrainingsData\IMG\center_2021_09_28_02_03_20_387.jpg, C:\Users\Hakan\Desktop\TrainingsData\IMG\left_2021_09_28_02_03_20_387.jpg, C:\Users\Hakan\Desktop\TrainingsData\IMG\right_2021_09_28_02_03_20_387.jpg, 0, 0, 0, 7.822521E-05
C:\Users\Hakan\Desktop\TrainingsData\IMG\center_2021_09_28_02_03_20_491.jpg, C:\Users\Hakan\Desktop\TrainingsData\IMG\left_2021_09_28_02_03_20_491.jpg, C:\Users\Hakan\Desktop\TrainingsData\IMG\right_2021_09_28_02_03_20_491.jpg, 0, 0, 0, 7.792019E-05
C:\Users\Hakan\Desktop\TrainingsData\IMG\center_2021_09_28_02_03_20_591.jpg, C:\Users\Hakan\Desktop\TrainingsData\IMG\left_2021_09_28_02_03_20_591.jpg, C:\Users\Hakan\Desktop\TrainingsData\IMG\right_2021_09_28_02_03_20_591.jpg, 0, 0, 0, 8.073908E-05
